X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
-107.502010648,39.499706211,5808,,DEFAULT,,,,1598230587660,,,,,,,,,,,,,,H79U,,2014/07/13 18:13:00,,,,,,,,,RMCC,,,,,,DRY HOLLOW,,WF,FI,,,,,{D273A3B0-0F70-47C2-8D53-6D2D10B17ACE},,0,1,0,0,0,0,,1,000171,1610569098123,,,,Garfield,,08045,,,,,,,,,,,,,,COGFX,US-CO,,,,,,2014-COGFX-000171,,wildcad,wildcad,2014/07/13 17:50:08,2014/07/15 14:35:22,,,,{00EB2772-E800-44CA-BF44-5C380FACB04F},2021/01/13 20:18:18,2020/08/24 00:56:27
-78.681208,38.507092,115709,,DEFAULT,,,,1555767913520,1,1,VAVIC,,,,,,,,Unknown,,,,,2019/03/23 12:37:09,,,,,,,,,SACC,,,,,,Cub Run RX,,RX,FI,38.507092,-78.681208,,,{4869C90D-A42F-4FD5-8897-A6DC67E29C14},,0,0,0,0,0,0,,1,190076,1610560120090,,,,Page,VAVIC,51139,FS,VAVAF,,,,,,,,,,SA28B,FS,VAVAF,US-VA,,,,,,2019-VAVAF-190076,No Decision,wildcad,wildcad,2019/04/20 13:45:13,2019/04/20 13:45:13,,,,{7B1584F4-D034-467A-A32C-3F574208C363},2021/01/13 17:48:40,2019/04/20 13:45:13
-79.24193,38.46541,115710,,DEFAULT,,,,1555768471327,1,1,VAVIC,,,,,,,,Unknown,,,,,2019/04/20 13:37:33,,,,,,,,,SACC,,,,,, New Road Run RX,,RX,FI,38.46541,-79.24193,,,{A23D35B0-6FC2-4B27-A1E8-83DC97737A1F},,0,0,0,0,0,0,,1,190100,1610559274587,,,,Augusta,VAVIC,51015,FS,VAVAF,,,,,,,,,,SA28B,FS,VAVAF,US-VA,,,,,,2019-VAVAF-190100,No Decision,wildcad,wildcad,2019/04/20 13:54:31,2019/04/20 13:54:31,,,,{3BBB1F6B-6D82-47A0-842E-31B62DDEF339},2021/01/13 17:34:34,2019/04/20 13:54:31
-79.76254,38.03065,115712,,DEFAULT,,,,1555771528903,1,1,VAVIC,,,,,,,,Unknown,,,,,2019/02/26 13:47:00,,,,,,,,,SACC,,,,,,Middle Mountain RX,,RX,FI,38.03065,-79.76254,,,{C4C3D7F8-A113-4D80-9F18-652334117735},,0,0,0,0,0,0,,1,190044,1610559883290,,,,Bath,VAVIC,51017,FS,VAVAF,,,,,,,,,,SA28B,FS,VAVAF,US-VA,,,,,,2019-VAVAF-190044,No Decision,wildcad,wildcad,2019/04/20 14:45:28,2019/04/20 14:45:28,,,,{1258D497-19B5-4371-B637-2A69A58117FE},2021/01/13 17:44:43,2019/04/20 14:45:28
-80.332389,37.340556,115714,,DEFAULT,,,,1555774491800,1,1,VAVIC,,,,,,,,Unknown,,,,,2019/03/20 15:17:13,,,,,,,,,SACC,,,,,,Upper Craig Creek RX,,RX,FI,37.340556,-80.332389,,,{51B85734-E5D5-4B4F-AF46-9A49B9D5B2DE},,0,0,0,0,0,0,,1,190072,1610560098190,,,,Montgomery,VAVIC,51121,FS,VAVAF,,,,,,,,,,SA28B,FS,VAVAF,US-VA,,,,,,2019-VAVAF-190072,No Decision,wildcad,wildcad,2019/04/20 15:34:51,2019/04/23 12:56:00,,,,{0B4074C7-E53A-4576-ACD2-6EDAF3A876D6},2021/01/13 17:48:18,2019/04/20 15:34:51
-80.07278,37.66018,115898,,DEFAULT,,,,1555955301517,1,1,VAVIC,,,,,,,,Unknown,,,,,2019/04/18 15:40:24,,,,,,,,,SACC,,,,,,Childrens Forest Admin Burn,,RX,FI,37.66018,-80.07278,,,{051D17F8-9CA0-45AF-AD34-8989FE0D33AF},,0,0,0,0,0,0,,1,190098,1610559265843,,,,Alleghany,VAVIC,51005,FS,VAVAF,,,,,,,,,,SA28B,FS,VAVAF,US-VA,,,,,,2019-VAVAF-190098,No Decision,wildcad,wildcad,2019/04/22 17:48:21,2019/04/22 17:54:30,,,,{C78A7864-8BF1-499B-9FD7-725A52D4C64F},2021/01/13 17:34:25,2019/04/22 17:48:21
-82.44709,36.89963,116046,,DEFAULT,,,,1556034238640,1,1,VAVIC,,,,,,,,Unknown,,,,,2019/03/11 12:44:07,,,,,,,,,SACC,,,,,,Flatwoods RX,,RX,FI,36.89645,-82.4375,,,{C2EA9798-F629-4C15-AEAF-D8B6CB672464},,0,0,0,0,0,0,,1,190053,1610560009060,,,,Wise,VAVIC,51195,FS,VAVAF,,,,,,,,,,SA28A,FS,VAVAF,US-VA,,,,,,2019-VAVAF-190053,No Decision,wildcad,wildcad,2019/04/23 15:43:58,2019/04/24 11:48:36,,,,{F4FCF887-A625-40C9-B38D-C551E6A8F106},2021/01/13 17:46:49,2019/04/23 15:43:58
-81.32378,36.83574,116683,,DEFAULT,,,,1556730753820,1,1,VAVIC,,,,,,,,Unknown,,,,,2019/03/22 13:27:30,,,,,,,,,SACC,,,,,,Glade Mountain RX,,RX,FI,36.83574,-81.32378,,,{D3297DD2-FC0D-4B4A-A109-5478709D90C0},,0,0,0,0,0,0,,1,190075,1610560110567,,,,Smyth,VAVIC,51173,FS,VAVAF,,,,,,,,,,SA28A,FS,VAVAF,US-VA,,,,,,2019-VAVAF-190075,No Decision,wildcad,wildcad,2019/05/01 17:12:33,2019/12/19 18:06:01,0,,,{F6B1B0C4-A60E-454A-851B-8FA71BDF71CE},2021/01/13 17:48:30,2019/05/01 17:12:33
-79.1581,37.93304,116788,,DEFAULT,,,,1556798581103,1,1,VAVIC,,,,,,,,Unknown,,,,,2019/04/04 13:06:53,,,,,,,,,SACC,,,,,,Mount Joy RX - DCR,,RX,FI,37.93304,-79.1581,,,{252FE84F-F4E0-490A-A3D3-44BAE1779BC3},,0,0,0,0,0,0,,1,190089,1610559469827,,,,Augusta,VAVIC,51015,DOF,VAVAS,,,,,,,,,,SA28B,,VAVIC,US-VA,,,,,,2019-VAVIC-190089,No Decision,wildcad,wildcad,2019/05/02 12:03:01,2019/05/02 12:03:01,0,,,{CB5CA89B-BED6-471D-A355-3CC6BA9C7C65},2021/01/13 17:37:49,2019/05/02 12:03:01
-82.6656,37.07151,116905,,DEFAULT,,,,1556895239197,1,1,VAVIC,,,,,,,,Unknown,,,,,2019/04/27 13:45:50,,,,,,,,,SACC,,,,,,North Fork RX,,RX,FI,37.07151,-82.6656,,,{140B87FB-C3A4-488D-91D4-3F387064F4E0},,0,0,0,0,0,0,,1,190103,1610559271037,,,,Wise,VAVIC,51195,DOF,VAVAS,,,,,,,,,,SA28A,FS,VAVAF,US-VA,,,,,,2019-VAVAF-190103,No Decision,wildcad,wildcad,2019/05/03 14:53:59,2019/05/03 14:53:59,0,,,{782AC5FA-5034-44D6-A268-EF08BE1059C8},2021/01/13 17:34:31,2019/05/03 14:53:59
